GalleryID;id;rowid;UploadDate;NamePic;DownloadURL;CountComments;CountRatingOneStar;CountRatingFiveStars;CumulatedRatingFiveStars;AvarageRating;Active;Informed;Title;Name
1;27;27;"06.08.2017 01:42";"7contest_173985326 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/7contest_173985326-Large-1.jpg;0;;0;0;;0;0;sdfasdf;asdfasdfasdf
1;26;26;"06.08.2017 01:34";"26contest_100790692 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/26contest_100790692-Large-2.jpg;0;;0;0;;0;0;sdfsafsdf;sdfsadf
1;25;25;"06.08.2017 01:33";"16contest_108915350 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/16contest_108915350-Large-2.jpg;0;;0;0;;0;0;sdfasdf;asdfasdf
1;24;24;"06.08.2017 01:32";"26contest_100790692 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/26contest_100790692-Large-1.jpg;0;;0;0;;0;0;asdfasdf;asdfasdfasdf
1;23;23;"06.08.2017 00:39";"25DSCF1188_89_90 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/25DSCF1188_89_90-Large-2.jpg;0;;0;0;;0;0
1;22;22;"06.03.2017 05:52";DSCF5324_tonemapped1;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/DSCF5324_tonemapped1.jpg;0;3;0;0;;1;0;;
1;21;21;"06.03.2017 05:52";DSCF5272_tonemapped;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/DSCF5272_tonemapped.jpg;0;;0;0;;1;0;;
1;20;20;"06.03.2017 05:52";DSCF5396_tonemapped;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/DSCF5396_tonemapped.jpg;1;4;0;0;;1;0;;
1;19;19;"06.03.2017 05:52";DSCF5463_tonemapped;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/DSCF5463_tonemapped.jpg;2;;0;0;;1;0;;
1;18;18;"06.03.2017 05:52";DSCF5577_tonemapped;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/DSCF5577_tonemapped.jpg;0;9;0;0;;1;0;;
1;17;17;"06.03.2017 05:52";DSCF5538_tonemapped;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/DSCF5538_tonemapped.jpg;0;6;0;0;;1;0;;
1;16;16;"06.03.2017 05:52";"32contestk_191468507 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/32contestk_191468507-Large.jpg;0;;0;0;;1;0;;
1;15;15;"06.03.2017 05:52";"35contest_193441724 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/35contest_193441724-Large.jpg;0;;0;0;;1;0;;
1;14;14;"06.03.2017 05:52";"48contest_237077227 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/48contest_237077227-Large.jpg;0;;0;0;;1;0;;
1;13;13;"06.03.2017 05:52";54contest-gallery_245935972;http://192.168.178.27/test-cg-1/wp-content/uploads/2017/04/54contest-gallery_245935972.jpg;0;;0;0;;1;0;;
1;12;12;"06.03.2017 05:52";"6contest_144841885 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/6contest_144841885-Large.jpg;0;;0;0;;1;0;;
1;11;11;"06.03.2017 05:52";"16contest_108915350 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/16contest_108915350-Large-1.jpg;0;;0;0;;1;0;;
1;10;10;"06.03.2017 05:52";"7contest-gallery_243871861 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/7contest-gallery_243871861-Large-1.jpg;0;;0;0;;1;0;;
1;9;9;"06.03.2017 05:52";"8contest-galery_74170612 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/8contest-galery_74170612-Large.jpg;0;;0;0;;1;0;;
1;8;8;"06.03.2017 05:52";"25DSCF1188_89_90 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/25DSCF1188_89_90-Large-2.jpg;0;;0;0;;1;0;;
1;7;7;"06.03.2017 05:52";"26contest_100790692 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/26contest_100790692-Large.jpg;0;;0;0;;1;0;;
1;6;6;"06.03.2017 05:52";"27contest_87120142 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/27contest_87120142-Large-1.jpg;0;;0;0;;1;0;;
1;5;5;"06.03.2017 05:52";33_200848433;http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/33_200848433.jpg;0;;0;0;;1;0;;
1;4;4;"06.03.2017 05:52";"34contest_70268821 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/34contest_70268821-Large.jpg;0;;0;0;;1;0;;
1;3;3;"06.03.2017 05:52";"6contest_144841885 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/6contest_144841885-Large-1.jpg;0;;0;0;;1;0;;
1;2;2;"05.31.2017 22:02";"6contest_144841885 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/6contest_144841885-Large.jpg;0;;0;0;;1;0;;
1;1;1;"05.31.2017 22:02";"16contest_108915350 (Large)";http://192.168.178.27/test-cg-1/wp-content/uploads/2016/10/16contest_108915350-Large-1.jpg;0;;0;0;;1;0;;
